Country,Is Non-Muslim,Source,Language,Localization name,Code,country_id,localization_id,Default translation,Translated by,Translation ID,Description,URL
Lithuania,Yes,QuranEnc,Lithuanian,Lithuanian,lt,20,20,1,Rowwad Translation Center,lithuanian_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/lithuanian_rwwad
Ukraine,Yes,QuranEnc,Ukrainian,Ukrainian,uk,21,21,1,Mikhailo Yakubovych,ukrainian_yakubovych,"Translated by Dr. Mikhailo Yakubovych, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/ukrainian_yakubovych
Kazakhstan,No,QuranEnc,Kazakh,Kazakh,kk,22,22,1,Khalifa Altai,kazakh_altai,"Translated by Khalifa Altai, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/kazakh_altai
Uzbekistan,No,QuranEnc,Uzbek,Uzbek,uz,23,23,1,Rowwad Translation Center,uzbek_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/uzbek_rwwad
Uzbekistan,No,QuranEnc,Uzbek,Uzbek,uz,23,23,1,Muhammad Sadiq Muhammad Yusuf,uzbek_sadiq,"Translated by Muhammad Sadiq Muhammad Yusuf, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/uzbek_sadiq
Uzbekistan,No,QuranEnc,Uzbek,Uzbek,uz,23,23,1,Alaauddin Mansour,uzbek_mansour,"Translated by Alaauddin Mansour, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/uzbek_mansour
Tajikistan,No,QuranEnc,Tajik,Tajik,tg,24,24,1,Rowwad Translation Center,tajik_arifi,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/tajik_arifi
Tajikistan,No,QuranEnc,Tajik,Tajik,tg,24,24,1,Khoja Mirov Khoja Mir,tajik_khawaja,"Translated by Khoja Mirov Khoja Mir, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/tajik_khawaja
Kyrgyzstan,No,QuranEnc,Kyrgyz,Kyrgyz,ky,25,25,1,Shamsuddin Hakimov,kyrgyz_hakimov,"Translated by Shamsuddin Hakimov Abdulkhaliq, supervised by Rowwad Translation Center.",https://quranenc.com/en/browse/kyrgyz_hakimov
Indonesia,No,QuranEnc,Indonesian,Indonesian,id,26,26,1,Sabeq Company,indonesian_sabiq,"Issued by Sabeq Company, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/indonesian_sabiq
Indonesia,No,QuranEnc,Indonesian,Indonesian,id,26,26,1,Ministry of Religious Affairs,indonesian_affairs,"Issued by Indonesian Ministry of Religious Affairs, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/indonesian_affairs
Indonesia,No,QuranEnc,Indonesian,Indonesian,id,26,26,1,The Assembly,indonesian_complex,"Issued by Indonesian Ministry of Religious Affairs, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/indonesian_complex
Indonesia,No,QuranEnc,Indonesian,Indonesian,id,26,26,1,Al-Mukhtsar,indonesian_mokhtasar,Issued by Tafsir Center for Quranic Studies ,https://quranenc.com/en/browse/indonesian_mokhtasar
Philippines,Yes,QuranEnc,Filipino (Tagalog),Tagalog,tl,27,27,1,Rowwad Translation Center,tagalog_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/tagalog_rwwad
Philippines,Yes,QuranEnc,Filipino,Cebuano,ceb,27,27,1,Rowwad Translation Center,bisayan_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/bisayan_rwwad
Philippines (Mindanao region),Yes,QuranEnc,Iranun,Iranun,ilp,27,27,1,Abdulaziz Gru Alam Saro Mentang,iranun_sarro,Translated by Sh. Abdulaziz Gru Alam Saro Mentang.,https://quranenc.com/en/browse/iranun_sarro
Philippines (Mindanao region),Yes,QuranEnc,Maguindanao,Maguindanao,mdh,27,27,1,Rowwad Translation Center,maguindanao_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/maguindanao_rwwad
Malaysia,No,QuranEnc,Malay,Malay,ms,28,28,1,Abdullah Basumayyah,malay_basumayyah,Translated by Abdullah Basumayyah.,https://quranenc.com/en/browse/malay_basumayyah
China,Yes,QuranEnc,Chinese,Chinese,zh,29,29,1,Muhammad Sulaiman,chinese_suliman,"Translated by Muhammad Makin, reviewed by Muhammad Sulaiman and language experts.",https://quranenc.com/en/browse/chinese_suliman
China,Yes,QuranEnc,Chinese,Chinese,zh,29,29,1,Muhammad Makin,chinese_makin,"Translated by Muhammad Makin, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/chinese_makin
China,Yes,QuranEnc,Chinese,Chinese,zh,29,29,1,Ma Yulong (Basair Endowment),chinese_mayolong,Translated by Ma Yulong. Issued by Basair Endowment for serving the Noble Quran.,https://quranenc.com/en/browse/chinese_mayolong
China (Xinjiang region),No,QuranEnc,Uyghur,Uyghur,ug,29,29,1,Muhammad Saleh,uyghur_saleh,"Translated by Muhammad Saleh, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/uyghur_saleh
Japan,Yes,QuranEnc,Japanese,Japanese,ja,30,30,1,Saeed Sato,japanese_saeedsato,"Translated by Saeed Sato, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/japanese_saeedsato
"South Korea, North Korea",Yes,QuranEnc,Korean,Korean,ko,31,31,1,Hamed Choi,korean_hamid,"Translated by Hamed Choi, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/korean_hamid
"South Korea, North Korea",Yes,QuranEnc,Korean,Korean,ko,31,31,1,Rowwad Translation Center,korean_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/korean_rwwad
Vietnam,Yes,QuranEnc,Vietnamese,Vietnamese,vi,32,32,1,Rowwad Translation Center,vietnamese_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/vietnamese_rwwad
Vietnam,Yes,QuranEnc,Vietnamese,Vietnamese,vi,32,32,1,Hasan Abdulkarim,vietnamese_hassan,"Translated by Hasan Abdulkarim, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/vietnamese_hassan
Thailand,Yes,QuranEnc,Thai,Thai,th,33,33,1,Group of seekers of knowledge,thai_complex,"Issued by Association of Graduates of Universities and Institutes in Thailand, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/thai_complex
Thailand,Yes,QuranEnc,Thai,Thai,th,33,33,1,Al-Mukhtsar,thai_mokhtasar,Issued by Tafsir Center for Quranic Studies,https://quranenc.com/en/browse/thai_mokhtasar
Cambodia,Yes,QuranEnc,Khmer,Khmer,km,34,34,1,Rowwad Translation Center,khmer_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/khmer_rwwad
Cambodia,Yes,QuranEnc,Khmer,Khmer,km,34,34,1,Islamic Community Development Association,khmer_cambodia,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/khmer_cambodia
Iran,No,QuranEnc,Persian,Persian,fa,35,35,1,Rowwad Translation Center,persian_ih,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/persian_ih
Iran,No,QuranEnc,Persian,Persian,fa,35,35,1,Saadi,persian_saadi,Translation of Saadi's interpretation into Persian.,https://quranenc.com/en/browse/persian_saadi
Afghanistan,No,QuranEnc,Dari,Dari,prs,36,36,1,Muhammad Anwar Badakhshani,dari_badkhashani,Translated by Mawlawi Muhammad Anwar Badakhshani.,https://quranenc.com/en/browse/dari_badkhashani
"Iraq, Iran, Syria, Turkey",No,QuranEnc,Kurdish,Kurdish (Sorani),ckb,37,37,1,Muhammad Salih Bamoki,kurdish_bamoki,"Translated by Muhammad Salih Bamoki, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/kurdish_bamoki
"Iraq, Iran, Syria, Turkey",No,QuranEnc,Kurdish,Kurdish (Sorani),ckb,37,37,1,Salahuddin Abdulkarim,kurdish_salahuddin,Translated by Salahuddin Abdulkarim.,https://quranenc.com/en/browse/kurdish_salahuddin
"Turkey, Syria, Iraq, Armenia",Mixed,QuranEnc,Kurdish (Kurmanji),Kurdish (Kurmanji),kmr,38,38,1,Dr. Ismail Segari,kurmanji_ismail,Translated by Dr. Ismail Segari.,https://quranenc.com/en/browse/kurmanji_ismail
"Afghanistan, Pakistan",No,QuranEnc,Pashto,Pashto,ps,39,39,1,Rowwad Translation Center,pashto_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/pashto_rwwad
"Afghanistan, Pakistan",No,QuranEnc,Pashto,Pashto,ps,39,39,1,Abu Zakaria Abdussalam,pashto_zakaria,Translated by Abu Zakaria Abdussalam.,https://quranenc.com/en/browse/pashto_zakaria
"Afghanistan, Pakistan",No,QuranEnc,Pashto,Pashto,ps,39,39,1,Maulvi Janbaz Sarfaraz,pashto_sarfaraz,Translation of the meanings of the Noble Quran into Pashto language by Maulvi Janbaz Sarfaraz.,https://quranenc.com/en/browse/pashto_sarfaraz
Israel,Yes,QuranEnc,Hebrew,Hebrew,he,40,40,1,Darussalam Association,hebrew_darussalam,Issued by Darussalam Center in Jerusalem.,https://quranenc.com/en/browse/hebrew_darussalam
"Pakistan, India",Mixed,QuranEnc,Urdu,Urdu,ur,41,41,1,Muhammad Junagarhi,urdu_junagarhi,"Translated by Muhammad Ibrahim Junagarhi, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/urdu_junagarhi
India,Yes,QuranEnc,Hindi,Hindi,hi,42,42,1,Azizul Haq Al-Omari,hindi_omari,Translated by Azizul Haq Al-Omari.,https://quranenc.com/en/browse/hindi_omari
"Bangladesh, India",Mixed,QuranEnc,Bengali,Bengali,bn,43,43,1,Abu Bakr Muhammad Zakaria,bengali_zakaria,Bengali translation of Dr. Abu Bakr Muhammad Zakaria.,https://quranenc.com/en/browse/bengali_zakaria
India,Yes,QuranEnc,Marathi,Marathi,mr,42,42,1,Muhammad Shafi Ansari,marathi_ansari,Translated by Muhammad Shafi Ansari.,https://quranenc.com/en/browse/marathi_ansari
India,Yes,QuranEnc,Telugu,Telugu,te,42,42,1,Abdurrahim ibn Muhammad,telugu_muhammad,Translated by Abdurrahim ibn Muhammad.,https://quranenc.com/en/browse/telugu_muhammad
India,Yes,QuranEnc,Gujarati,Gujarati,gu,42,42,1,Rabila Al-Omari,gujarati_omari,"Translated by Rabella Al-Omari, supervised by Rowwad Translation Center.",https://quranenc.com/en/browse/gujarati_omari
India,Yes,QuranEnc,Malayalam,Malayalam,ml,42,42,1,Abdulhamid Haidar Al-Madany & Kunhi Muhammad,malayalam_kunhi,Translated by Abdulhamid Haidar Al-Madany & Kunhi Muhammad.,https://quranenc.com/en/browse/malayalam_kunhi
India,Yes,QuranEnc,Kannada,Kannada,kn,42,42,1,Muhammad Hamza Batur,kannada_hamza,"Translated by Muhammad Hamza Batur, supervised by Rowwad Translation Center.",https://quranenc.com/en/browse/kannada_hamza
India,Yes,QuranEnc,Kannada,Kannada,kn,42,42,1,Sh. Bashir Misuri,kannada_bashir,"Translated by Sh. Bashir Misuri, supervised by Rowwad Translation Center.",https://quranenc.com/en/browse/kannada_bashir
India,Yes,QuranEnc,Assamese,Assamese,as,42,42,1,Rafiqul Islam Habibur Rahman,assamese_rafeeq,Translated by Rafiqul Islam Habibur Rahman.,https://quranenc.com/en/browse/assamese_rafeeq
"India, Pakistan",Mixed,QuranEnc,Punjabi,Punjabi,pa,44,44,1,Arif Halim,punjabi_arif,Translated by Aref Halim.,https://quranenc.com/en/browse/punjabi_arif
"India, Sri Lanka",Yes,QuranEnc,Tamil,Tamil,ta,45,45,1,Omar Sharif ibn Abdussalam,tamil_omar,Translated by Sh. Omar Sharif ibn Abdussalam.,https://quranenc.com/en/browse/tamil_omar
"India, Sri Lanka",Yes,QuranEnc,Tamil,Tamil,ta,45,45,1,Abdulhamid Albaqoi,tamil_baqavi,Translated by Abdulhamid Albaqoi.,https://quranenc.com/en/browse/tamil_baqavi
Sri Lanka,Yes,QuranEnc,Sinhalese,Sinhala,si,46,46,1,Rowwad Translation Center,sinhalese_mahir,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/sinhalese_mahir
Nepal,Yes,QuranEnc,Nepali,Nepali,ne,47,47,1,Ahlul Hadith Association,nepali_central,Issued by Central Society of Ahlul-Hadith in Nepal.,https://quranenc.com/en/browse/nepali_central
"Kenya, Tanzania, Uganda",Yes,QuranEnc,Swahili,Swahili,sw,48,48,1,Rowwad Translation Center,swahili_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/swahili_rwwad
"Kenya, Tanzania, Uganda",Yes,QuranEnc,Swahili,Swahili,sw,48,48,1,Ali Muhsen Al-Berwani,swahili_barawani,Translated by Ali Muhsen Al-Berwani.,https://quranenc.com/en/browse/swahili_barawani
"Kenya, Tanzania, Uganda",Yes,QuranEnc,Swahili,Swahili,sw,48,48,1,Dr. Abdullah Muhammad Abu Bakr & Sh. Naser Khamis,swahili_abubakr,Translated by Dr. Abdullah Muhammad Abu Bakr & Sh. Naser Khamis.,https://quranenc.com/en/browse/swahili_abubakr
Somalia,No,QuranEnc,Somali,Somali,so,49,49,1,Abdullah Hasan Yaqoub,somali_yacob,Translated by Abdullah Hasan Yaqoub.,https://quranenc.com/en/browse/somali_yacob
Ethiopia,Yes,QuranEnc,Amharic,Amharic,am,50,50,1,Africa Academy (Muhammad Zain Zahruddin),amharic_zain,Translated by Muhammad Zain Zahruddin. Published by Africa Academy.,https://quranenc.com/en/browse/amharic_zain
Ethiopia,Yes,QuranEnc,Amharic,Amharic,am,50,50,1,Muhammad Sadiq & Muhammad Sani Habib,amharic_sadiq,"Translated by Sh. Muhammed Sadiq and Muhammed Sani Habib, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/amharic_sadiq
Nigeria,Yes,QuranEnc,Yoruba,Yoruba,yo,51,51,1,Abu Rahima Mikael Ekoyini,yoruba_mikail,Translated by Sh. Abu Rahima Mikael Ekoyini.,https://quranenc.com/en/browse/yoruba_mikail
"Nigeria, Niger",Mixed,QuranEnc,Hausa,Hausa,ha,52,52,1,Abu Bakr Mahmoud Jomy,hausa_gummi,"Translated by Abu Bakr Mahmoud Jomy, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/hausa_gummi
Ethiopia,Yes,QuranEnc,Oromo,Oromo,om,50,50,1,Gali Ababor,oromo_ababor,Translated by Gali Ababor.,https://quranenc.com/en/browse/oromo_ababor
Madagascar,Yes,QuranEnc,Malagasy,Malagasy,mg,53,53,1,Rowwad Translation Center,malagasy_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/malagasy_rwwad
Kenya,Yes,QuranEnc,Luhya,Luhya,luy,54,54,1,International Society for Science and Culture,luhya_center,Issued by International Society for Science and Culture.,https://quranenc.com/en/browse/luhya_center
"Ethiopia, Djibouti, Eritrea",Mixed,QuranEnc,Afar,Afar,aa,55,55,1,Mahmoud Abdulqader Hamza (Group of scholars),afar_hamza,Translated by a group of scholars headed by Sh. Mahmoud Abdulqader Hamza.,https://quranenc.com/en/browse/afar_hamza
Uganda,Yes,QuranEnc,Luganda,Luganda,lg,56,56,1,African Development Foundation,luganda_foundation,Issued by African Development Foundation.,https://quranenc.com/en/browse/luganda_foundation
"Guinea, Mali, etc",No,QuranEnc,N'ko,N'ko,nqo,57,57,1,Fudi Sulaiman Kanti,ankobambara_foudi,Translated by Fudi Sulaiman Kanti.,https://quranenc.com/en/browse/ankobambara_foudi
"Guinea, Mali, etc",No,QuranEnc,N'ko,N'ko,nqo,57,57,1,"Karamo, Baba Mamadi Jani",ankobambara_dayyan,"Translated by Karamo, Baba Mamadi Jani.",https://quranenc.com/en/browse/ankobambara_dayyan
Rwanda,Yes,QuranEnc,Kinyarwanda,Kinyarwanda,rw,58,58,1,Rwanda Muslim Association,kinyarwanda_assoc,Issued by Rwanda Muslim Association.,https://quranenc.com/en/browse/kinyarwanda_assoc
Burundi,Yes,QuranEnc,Kirundi,Kirundi,rn,59,59,1,Yusuf Gheti,ikirundi_gehiti,Translated by Yusuf Gheti - Issued by African Development Foundation.,https://quranenc.com/en/browse/ikirundi_gehiti
Burkina Faso,Mixed,QuranEnc,Moore,Moore,mos,60,60,1,Rowwad Translation Center,moore_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/moore_rwwad
Ghana,Yes,QuranEnc,Dagbani,Dagbani,dag,61,61,1,Muhammad Baba Ghatubo,dagbani_ghatubo,Translated by Muhammad Baba Ghatubo.,https://quranenc.com/en/browse/dagbani_ghatubo
"Malawi, Zambia",Yes,QuranEnc,Chewa,Chewa,ny,62,62,1,Khalid Ibrahim Betala,chichewa_betala,Translated by Khalid Ibrahim Betala.,https://quranenc.com/en/browse/chichewa_betala
Ghana,Yes,QuranEnc,Asante,Asante Twi,tw,61,61,1,Harun Ismail,asante_harun,Translated by Sh. Harun Ismail.,https://quranenc.com/en/browse/asante_harun
Ghana,Yes,QuranEnc,Yaw,Yaw,jaw,61,61,1,Muhammad ibn Abdulhamid Slika,yaw_silika,Translated by Muhammad ibn Abdulhamid Slika.,https://quranenc.com/en/browse/yaw_silika
"Senegal, Mali",No,QuranEnc,Fulani,Fulani,ff,63,63,1,Rowwad Translation Center,fulani_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/fulani_rwwad
"DR Congo, Congo-Brazzaville",Yes,QuranEnc,Lingala,Lingala,ln,64,64,1,Zakaria Mohammed Balangogo,lingala_zakaria,Translated by Zakaria Mohammed Balangogo.,https://quranenc.com/en/browse/lingala_zakaria
Saudi Arabia,No,QuranEnc,Arabic (Tafsir),Arabic,ar,65,65,1,Tafsir Center for Quranic Studies,arabic_mokhtasar,Turkish translation of Al-Mukhtasar in interpretation of the Noble Quran in Arabic.,https://quranenc.com/en/browse/arabic_mokhtasar
Indonesia,No,QuranEnc,Indonesian (Tafsir),Indonesian,id,26,26,1,Tafsir Center for Quranic Studies,indonesian_mokhtasar,Issued by Tafsir Center for Quranic Studies.,https://quranenc.com/en/browse/indonesian_mokhtasar
Iran,No,QuranEnc,Persian (Tafsir),Persian,fa,35,35,1,Tafsir Center for Quranic Studies,persian_mokhtasar,Issued by Tafsir Center for Quranic Studies.,https://quranenc.com/en/browse/persian_mokhtasar
Turkey,No,QuranEnc,Turkish (Tafsir),Turkish,tr,11,11,1,Tafsir Center for Quranic Studies,turkish_mokhtasar,Issued by Tafsir Center for Quranic Studies.,https://quranenc.com/en/browse/turkish_mokhtasar
Bosnia,No,QuranEnc,Bosnian (Tafsir),Bosnian,bs,66,66,1,Tafsir Center for Quranic Studies,bosnian_mokhtasar,Issued by Tafsir Center for Quranic Studies.,https://quranenc.com/en/browse/bosnian_mokhtasar
"Bangladesh, India",Mixed,QuranEnc,Bengali (Tafsir),Bengali,bn,43,43,1,Tafsir Center for Quranic Studies,bengali_mokhtasar,Issued by Tafsir Center for Quranic Studies.,https://quranenc.com/en/browse/bengali_mokhtasar
India (Kerala),Yes,QuranEnc,Malayalam (Tafsir),Malayalam,ml,42,42,1,Tafsir Center for Quranic Studies,malayalam_mokhtasar,Issued by Tafsir Center for Quranic Studies.,https://quranenc.com/en/browse/malayalam_mokhtasar
India (Assam),Yes,QuranEnc,Assamese (Tafsir),Assamese,as,42,42,1,Tafsir Center for Quranic Studies,assamese_mokhtasar,Issued by Tafsir Center for Quranic Studies.,https://quranenc.com/en/browse/assamese_mokhtasar
Cambodia,Yes,QuranEnc,Khmer (Tafsir),Khmer,km,34,34,1,Tafsir Center for Quranic Studies,khmer_mokhtasar,Issued by Tafsir Center for Quranic Studies.,https://quranenc.com/en/browse/khmer_mokhtasar
